,name,company,salary,city,link,site
0,Data science, Тесуджи,от 200 000 руб.,Москва,https://hh.ru/vacancy/33789276,HeadHunter
1,Руководитель отдела data science, MERLION,Не указано,Москва,https://hh.ru/vacancy/33081633,HeadHunter
2,Data Analyst, Weigandt-consulting,Не указано,"Санкт-Петербург, Гостиный двор",https://hh.ru/vacancy/34164081,HeadHunter
3,Data scientist, Билайн,Не указано,Москва,https://hh.ru/vacancy/33418971,HeadHunter
4,Head of Data Science, PROFI.RU,Не указано,"Москва, Аэропорт",https://hh.ru/vacancy/33997029,HeadHunter
5,"Экономист-математик (IO, эконометрика/data science)", Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,60 000-130 000 руб.,"Москва, Юго-Западная",https://hh.ru/vacancy/31258061,HeadHunter
6,Аналитик в финансовый департамент, ID Finance,от 120 000 руб.,Москва,https://hh.ru/vacancy/34004146,HeadHunter
7,Data Scientist, GFAIVE,от 150 000 руб.,"Москва, Отрадное",https://hh.ru/vacancy/34139725,HeadHunter
8,Разработчик корпоративной аналитики и отчетности (ML + Data Science)," ДИКСИ, группа компаний",до 150 000 руб.,"Москва, Рижская",https://hh.ru/vacancy/32906057,HeadHunter
9,Data Science Engineer, Эволента,от 50 000 руб.,Саранск,https://hh.ru/vacancy/33735433,HeadHunter
10,Junior Quantitative Researcher,ООО КВАНТПОРТРУС,250 000-250 000 руб.,Москва,https://hh.ru/vacancy/31844648,HeadHunter
11,"Стажёр(Анализ данных,data science)",ООО САС Институт,Не указано,Москва,https://hh.ru/vacancy/34061806,HeadHunter
12,Head of Data Science, ID Finance,Не указано,Москва,https://hh.ru/vacancy/34081601,HeadHunter
13,Data Scientist, ЭР-Телеком,Не указано,Пермь,https://hh.ru/vacancy/30758063,HeadHunter
14,Data Science разработчик (Computer Vision),ООО Нейросети Ашманова,от 150 000 руб.,"Москва, Кунцевская и еще 2 ",https://hh.ru/vacancy/34147652,HeadHunter
15,Data Science бизнес-партнер,ООО Центр недвижимости от Сбербанка,Не указано,"Москва, Кутузовская",https://hh.ru/vacancy/33787697,HeadHunter
16,Data Scientist (клиентская аналитика),"ПАО МегаФон, IT",Не указано,Нижний Новгород,https://hh.ru/vacancy/34162582,HeadHunter
17,Data Scientist (клиентская аналитика),"ПАО МегаФон, Digital",Не указано,Москва,https://hh.ru/vacancy/34162544,HeadHunter
18,Аналитик направления Data Science (Applied Intelligence), Accenture,Не указано,Москва,https://hh.ru/vacancy/31982669,HeadHunter
19,Data Analyst to Finland, We Got Talent OY,Не указано,Санкт-Петербург,https://hh.ru/vacancy/34140496,HeadHunter
20,IT руководитель команды (направление Data Science),ООО Центр недвижимости от Сбербанка,Не указано,"Москва, Кутузовская",https://hh.ru/vacancy/33975505,HeadHunter
21,"Ведущий специалист / data scientist (big data, прогностическая аналитика, data mining)",ЗАО Прогностические решения,от 150 000 руб.,"Москва, Кузнецкий мост",https://hh.ru/vacancy/32765739,HeadHunter
22,Data Science в RnD,ООО Центр недвижимости от Сбербанка,Не указано,Москва,https://hh.ru/vacancy/33860155,HeadHunter
23,Data Science Engineer, Welltory,Не указано,"Санкт-Петербург, Петроградская",https://hh.ru/vacancy/34131592,HeadHunter
24,Analyst/Data Science Specialist, GfK Rus,Не указано,Москва,https://hh.ru/vacancy/29609893,HeadHunter
25,Специалист по анализу данных / Data Scientist (Middle / Senior),ООО АлгоМост,Не указано,"Москва, Маяковская",https://hh.ru/vacancy/33903019,HeadHunter
26,Data Science specialist (Аналитик антифрод),ООО Смарт Лайн,100 000-150 000 руб.,"Санкт-Петербург, Чёрная речка",https://hh.ru/vacancy/34115107,HeadHunter
27,Руководитель отдела аналитики / Data Analysis Team Lead, Stark Automotive Germany GmbH,от 80 000 руб.,"Новосибирск, Площадь Ленина",https://hh.ru/vacancy/33639914,HeadHunter
28,Аналитик/Интерн направления «Data Science/Applied intelligence», Accenture,Не указано,Москва,https://hh.ru/vacancy/31133419,HeadHunter
29,Data Scientist, Plarium,Не указано,Краснодар,https://hh.ru/vacancy/32113789,HeadHunter
30,Senior data scientist, Билайн,Не указано,Санкт-Петербург,https://hh.ru/vacancy/33810925,HeadHunter
31,Аналитик данных (Data Scientist),ООО Корвет Девелопмент,Не указано,"Москва, Новохохловская",https://hh.ru/vacancy/34064851,HeadHunter
32,Data Science, Сбербанк для экспертов,Не указано,Москва,https://hh.ru/vacancy/34126159,HeadHunter
33,Data Scientist (NLP) / Аналитик, MillionAgents,75 000-125 000 руб.,Москва,https://hh.ru/vacancy/33775482,HeadHunter
34,DataScientist/ Аналитик данных,ООО Лаборатория медицинских информационных технологий Элемент,Не указано,"Москва, Менделеевская и еще 2 ",https://hh.ru/vacancy/33727366,HeadHunter
35,SD Science/ Promo Analytics Intern / Стажер по анализу промо-стратегии," «Procter & Gamble», Студент",от 70 000 руб.,Москва,https://hh.ru/vacancy/34115865,HeadHunter
36,Data science, Тесуджи,от 200 000 руб.,Москва,https://hh.ru/vacancy/33789276,HeadHunter
37,Руководитель отдела data science, MERLION,Не указано,Москва,https://hh.ru/vacancy/33081633,HeadHunter
38,Data Analyst, Weigandt-consulting,Не указано,"Санкт-Петербург, Гостиный двор",https://hh.ru/vacancy/34164081,HeadHunter
39,Data scientist, Билайн,Не указано,Москва,https://hh.ru/vacancy/33418971,HeadHunter
40,Head of Data Science, PROFI.RU,Не указано,"Москва, Аэропорт",https://hh.ru/vacancy/33997029,HeadHunter
41,"Экономист-математик (IO, эконометрика/data science)", Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,60 000-130 000 руб.,"Москва, Юго-Западная",https://hh.ru/vacancy/31258061,HeadHunter
42,Аналитик в финансовый департамент, ID Finance,от 120 000 руб.,Москва,https://hh.ru/vacancy/34004146,HeadHunter
43,Data Scientist, GFAIVE,от 150 000 руб.,"Москва, Отрадное",https://hh.ru/vacancy/34139725,HeadHunter
44,Разработчик корпоративной аналитики и отчетности (ML + Data Science)," ДИКСИ, группа компаний",до 150 000 руб.,"Москва, Рижская",https://hh.ru/vacancy/32906057,HeadHunter
45,Data Science Engineer, Эволента,от 50 000 руб.,Саранск,https://hh.ru/vacancy/33735433,HeadHunter
46,Junior Quantitative Researcher,ООО КВАНТПОРТРУС,250 000-250 000 руб.,Москва,https://hh.ru/vacancy/31844648,HeadHunter
47,"Стажёр(Анализ данных,data science)",ООО САС Институт,Не указано,Москва,https://hh.ru/vacancy/34061806,HeadHunter
48,Head of Data Science, ID Finance,Не указано,Москва,https://hh.ru/vacancy/34081601,HeadHunter
49,Data Scientist, ЭР-Телеком,Не указано,Пермь,https://hh.ru/vacancy/30758063,HeadHunter
50,Data Science разработчик (Computer Vision),ООО Нейросети Ашманова,от 150 000 руб.,"Москва, Кунцевская и еще 2 ",https://hh.ru/vacancy/34147652,HeadHunter
51,Data Science бизнес-партнер,ООО Центр недвижимости от Сбербанка,Не указано,"Москва, Кутузовская",https://hh.ru/vacancy/33787697,HeadHunter
52,Data Scientist (клиентская аналитика),"ПАО МегаФон, IT",Не указано,Нижний Новгород,https://hh.ru/vacancy/34162582,HeadHunter
53,Data Scientist (клиентская аналитика),"ПАО МегаФон, Digital",Не указано,Москва,https://hh.ru/vacancy/34162544,HeadHunter
54,Аналитик направления Data Science (Applied Intelligence), Accenture,Не указано,Москва,https://hh.ru/vacancy/31982669,HeadHunter
55,Data Analyst to Finland, We Got Talent OY,Не указано,Санкт-Петербург,https://hh.ru/vacancy/34140496,HeadHunter
56,IT руководитель команды (направление Data Science),ООО Центр недвижимости от Сбербанка,Не указано,"Москва, Кутузовская",https://hh.ru/vacancy/33975505,HeadHunter
57,"Ведущий специалист / data scientist (big data, прогностическая аналитика, data mining)",ЗАО Прогностические решения,от 150 000 руб.,"Москва, Кузнецкий мост",https://hh.ru/vacancy/32765739,HeadHunter
58,Data Science в RnD,ООО Центр недвижимости от Сбербанка,Не указано,Москва,https://hh.ru/vacancy/33860155,HeadHunter
59,Data Science Engineer, Welltory,Не указано,"Санкт-Петербург, Петроградская",https://hh.ru/vacancy/34131592,HeadHunter
60,Analyst/Data Science Specialist, GfK Rus,Не указано,Москва,https://hh.ru/vacancy/29609893,HeadHunter
61,Специалист по анализу данных / Data Scientist (Middle / Senior),ООО АлгоМост,Не указано,"Москва, Маяковская",https://hh.ru/vacancy/33903019,HeadHunter
62,Data Science specialist (Аналитик антифрод),ООО Смарт Лайн,100 000-150 000 руб.,"Санкт-Петербург, Чёрная речка",https://hh.ru/vacancy/34115107,HeadHunter
63,Руководитель отдела аналитики / Data Analysis Team Lead, Stark Automotive Germany GmbH,от 80 000 руб.,"Новосибирск, Площадь Ленина",https://hh.ru/vacancy/33639914,HeadHunter
64,Аналитик/Интерн направления «Data Science/Applied intelligence», Accenture,Не указано,Москва,https://hh.ru/vacancy/31133419,HeadHunter
65,Data Scientist, Plarium,Не указано,Краснодар,https://hh.ru/vacancy/32113789,HeadHunter
66,Senior data scientist, Билайн,Не указано,Санкт-Петербург,https://hh.ru/vacancy/33810925,HeadHunter
67,Аналитик данных (Data Scientist),ООО Корвет Девелопмент,Не указано,"Москва, Новохохловская",https://hh.ru/vacancy/34064851,HeadHunter
68,Data Science, Сбербанк для экспертов,Не указано,Москва,https://hh.ru/vacancy/34126159,HeadHunter
69,Data Scientist (NLP) / Аналитик, MillionAgents,75 000-125 000 руб.,Москва,https://hh.ru/vacancy/33775482,HeadHunter
70,DataScientist/ Аналитик данных,ООО Лаборатория медицинских информационных технологий Элемент,Не указано,"Москва, Менделеевская и еще 2 ",https://hh.ru/vacancy/33727366,HeadHunter
71,SD Science/ Promo Analytics Intern / Стажер по анализу промо-стратегии," «Procter & Gamble», Студент",от 70 000 руб.,Москва,https://hh.ru/vacancy/34115865,HeadHunter
72,Data science, Тесуджи,от 200 000 руб.,Москва,https://hh.ru/vacancy/33789276,HeadHunter
73,Руководитель отдела data science, MERLION,Не указано,Москва,https://hh.ru/vacancy/33081633,HeadHunter
74,Data Analyst, Weigandt-consulting,Не указано,"Санкт-Петербург, Гостиный двор",https://hh.ru/vacancy/34164081,HeadHunter
75,Data scientist, Билайн,Не указано,Москва,https://hh.ru/vacancy/33418971,HeadHunter
76,Head of Data Science, PROFI.RU,Не указано,"Москва, Аэропорт",https://hh.ru/vacancy/33997029,HeadHunter
77,"Экономист-математик (IO, эконометрика/data science)", Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,60 000-130 000 руб.,"Москва, Юго-Западная",https://hh.ru/vacancy/31258061,HeadHunter
78,Аналитик в финансовый департамент, ID Finance,от 120 000 руб.,Москва,https://hh.ru/vacancy/34004146,HeadHunter
79,Data Scientist, GFAIVE,от 150 000 руб.,"Москва, Отрадное",https://hh.ru/vacancy/34139725,HeadHunter
80,Разработчик корпоративной аналитики и отчетности (ML + Data Science)," ДИКСИ, группа компаний",до 150 000 руб.,"Москва, Рижская",https://hh.ru/vacancy/32906057,HeadHunter
81,Data Science Engineer, Эволента,от 50 000 руб.,Саранск,https://hh.ru/vacancy/33735433,HeadHunter
82,Junior Quantitative Researcher,ООО КВАНТПОРТРУС,250 000-250 000 руб.,Москва,https://hh.ru/vacancy/31844648,HeadHunter
83,"Стажёр(Анализ данных,data science)",ООО САС Институт,Не указано,Москва,https://hh.ru/vacancy/34061806,HeadHunter
84,Head of Data Science, ID Finance,Не указано,Москва,https://hh.ru/vacancy/34081601,HeadHunter
85,Data Scientist, ЭР-Телеком,Не указано,Пермь,https://hh.ru/vacancy/30758063,HeadHunter
86,Data Science разработчик (Computer Vision),ООО Нейросети Ашманова,от 150 000 руб.,"Москва, Кунцевская и еще 2 ",https://hh.ru/vacancy/34147652,HeadHunter
87,Data Science бизнес-партнер,ООО Центр недвижимости от Сбербанка,Не указано,"Москва, Кутузовская",https://hh.ru/vacancy/33787697,HeadHunter
88,Data Scientist (клиентская аналитика),"ПАО МегаФон, IT",Не указано,Нижний Новгород,https://hh.ru/vacancy/34162582,HeadHunter
89,Data Scientist (клиентская аналитика),"ПАО МегаФон, Digital",Не указано,Москва,https://hh.ru/vacancy/34162544,HeadHunter
90,Аналитик направления Data Science (Applied Intelligence), Accenture,Не указано,Москва,https://hh.ru/vacancy/31982669,HeadHunter
91,Data Analyst to Finland, We Got Talent OY,Не указано,Санкт-Петербург,https://hh.ru/vacancy/34140496,HeadHunter
92,IT руководитель команды (направление Data Science),ООО Центр недвижимости от Сбербанка,Не указано,"Москва, Кутузовская",https://hh.ru/vacancy/33975505,HeadHunter
93,"Ведущий специалист / data scientist (big data, прогностическая аналитика, data mining)",ЗАО Прогностические решения,от 150 000 руб.,"Москва, Кузнецкий мост",https://hh.ru/vacancy/32765739,HeadHunter
94,Data Science в RnD,ООО Центр недвижимости от Сбербанка,Не указано,Москва,https://hh.ru/vacancy/33860155,HeadHunter
95,Data Science Engineer, Welltory,Не указано,"Санкт-Петербург, Петроградская",https://hh.ru/vacancy/34131592,HeadHunter
96,Analyst/Data Science Specialist, GfK Rus,Не указано,Москва,https://hh.ru/vacancy/29609893,HeadHunter
97,Специалист по анализу данных / Data Scientist (Middle / Senior),ООО АлгоМост,Не указано,"Москва, Маяковская",https://hh.ru/vacancy/33903019,HeadHunter
98,Data Science specialist (Аналитик антифрод),ООО Смарт Лайн,100 000-150 000 руб.,"Санкт-Петербург, Чёрная речка",https://hh.ru/vacancy/34115107,HeadHunter
99,Руководитель отдела аналитики / Data Analysis Team Lead, Stark Automotive Germany GmbH,от 80 000 руб.,"Новосибирск, Площадь Ленина",https://hh.ru/vacancy/33639914,HeadHunter
100,Аналитик/Интерн направления «Data Science/Applied intelligence», Accenture,Не указано,Москва,https://hh.ru/vacancy/31133419,HeadHunter
101,Data Scientist, Plarium,Не указано,Краснодар,https://hh.ru/vacancy/32113789,HeadHunter
102,Senior data scientist, Билайн,Не указано,Санкт-Петербург,https://hh.ru/vacancy/33810925,HeadHunter
103,Аналитик данных (Data Scientist),ООО Корвет Девелопмент,Не указано,"Москва, Новохохловская",https://hh.ru/vacancy/34064851,HeadHunter
104,Data Science, Сбербанк для экспертов,Не указано,Москва,https://hh.ru/vacancy/34126159,HeadHunter
105,Data Scientist (NLP) / Аналитик, MillionAgents,75 000-125 000 руб.,Москва,https://hh.ru/vacancy/33775482,HeadHunter
106,DataScientist/ Аналитик данных,ООО Лаборатория медицинских информационных технологий Элемент,Не указано,"Москва, Менделеевская и еще 2 ",https://hh.ru/vacancy/33727366,HeadHunter
107,SD Science/ Promo Analytics Intern / Стажер по анализу промо-стратегии," «Procter & Gamble», Студент",от 70 000 руб.,Москва,https://hh.ru/vacancy/34115865,HeadHunter
